Centroid,Population,Avg Endowment,In Beltline,Amt Density
RDA/Lee/Cascade/Enota Park,6,0.57,1.0,0.46
Heritage Communities of South Atlanta,11,0.59,1.0,0.0
Boulevard/McDonough/Boulevard Crossing,3,0.45,1.0,0.74
Memorial/Glenwood/Grant Park,8,0.65,1.0,0.0
Freedom Parkway/Fourth Ward Park,9,1.55,1.0,0.65
Virginia-Highland/Ansley/Piedmont Park,13,0.65,1.0,0.33
Peachtree/Collier/Tanyard Creek,14,0.64,1.0,0.62
Howell/Northside/Water Works,12,0.43,1.0,0.34
West Marietta/Howell/Westside Park,4,0.54,1.0,0.13
Hollowell/Boone/Maddox Park,8,0.83,1.0,0.14
"McNair, Ronald E. HS",13,0.62,0.0,0.02
Druid Hills HS,9,0.69,0.0,0.8
Decatur city,6,0.74,0.0,1.0
East Point city,5,0.55,0.0,0.25
Campbell HS,8,0.58,0.0,0.59
Brookhaven city,13,0.6,0.0,0.14
Cedar Grove HS,8,0.52,0.0,0.0
