GEOID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,0,0.0,1.0,0.46
BELTLINE02,Heritage Communities of South Atlanta,5,2.16,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,3,3.69,1.0,0.74
BELTLINE04,Memorial/Glenwood/Grant Park,0,0.0,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,3,2.48,1.0,0.65
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,3,2.4,1.0,0.33
BELTLINE07,Peachtree/Collier/Tanyard Creek,2,2.13,1.0,0.62
BELTLINE08,Howell/Northside/Water Works,2,1.89,1.0,0.34
BELTLINE09,West Marietta/Howell/Westside Park,3,1.85,1.0,0.13
BELTLINE10,Hollowell/Boone/Maddox Park,0,0.0,1.0,0.14
HS6443070,"McNair, Ronald E. HS",3,7.55,0.0,0.02
HS6442055,Druid Hills HS,2,3.56,0.0,0.8
1322052,Decatur city,1,1.55,0.0,1.0
1325720,East Point city,2,1.81,0.0,0.25
HS6331054,Campbell HS,1,1.7,0.0,0.59
1310944,Brookhaven city,3,3.59,0.0,0.14
HS6440172,Cedar Grove HS,1,2.43,0.0,0.0
