ID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,9,0.64,1.0,0.46
BELTLINE02,Heritage Communities of South Atlanta,7,0.65,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,4,1.23,1.0,0.74
BELTLINE04,Memorial/Glenwood/Grant Park,0,0.0,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,5,1.13,1.0,0.65
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,5,0.68,1.0,0.33
BELTLINE07,Peachtree/Collier/Tanyard Creek,4,0.83,1.0,0.62
BELTLINE08,Howell/Northside/Water Works,5,0.74,1.0,0.34
BELTLINE09,West Marietta/Howell/Westside Park,2,0.55,1.0,0.13
BELTLINE10,Hollowell/Boone/Maddox Park,3,3.91,1.0,0.14
HS6443070,"McNair, Ronald E. HS",1,0.57,0.0,0.02
HS6442055,Druid Hills HS,5,0.72,0.0,0.8
1322052,Decatur city,5,1.01,0.0,1.0
1325720,East Point city,2,0.76,0.0,0.25
HS6331054,Campbell HS,0,0.0,0.0,0.59
1310944,Brookhaven city,2,0.83,0.0,0.14
HS6440172,Cedar Grove HS,5,1.3,0.0,0.0
HS6443060,Lakeside HS,4,0.86,0.0,0.05
1315172,Chamblee city,1,0.64,0.0,0.26
1368516,Sandy Springs city,2,1.05,0.0,0.02
HS6331069,Wheeler HS,6,0.98,0.0,0.36
HS6334066,Pebblebrook HS,5,1.47,0.0,0.05
1317776,College Park city,3,0.61,0.0,0.46
HS6312052,North Clayton HS,1,0.52,0.0,0.02
HS6310115,Drew HS,6,1.46,0.0,0.0
HS6311054,Forest Park HS,4,0.9,0.0,0.0
HS6314058,Morrow HS,2,0.73,0.0,0.0
HS6442054,Columbia HS,2,0.68,0.0,0.0
